Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
96,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,0.08,0.41,0.16,40,0.41,0.16,0.2,0.5,0,0,0,0.06,0.06,0.14,0.02,0.02,0.26,0.31,0.31
97,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,0,1.06,0,0,1.06,0,0,,0,0,0,0.06,0.06,0.05,-0.06,-0.06,0.19,0.25,0.25
98,Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,0,5,0,0,4.5,0,0,,0,0,0,0,0,0.01,0,0,0,0.04,0.04
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,0,1.19,0.34,28.6,1.19,0.34,0,0,0,0,0,0.07,0.07,0.06,-0.07,-0.07,0.06,0.13,0.13
100,Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,32,1986,19.6,0.2,1.43,0.41,28.6,1.43,0.41,0.14,0.5,0.05,0,0,0.07,0.07,0.05,0.13,0.13,0.15,0.22,0.22
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
101,Janis Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,0,10,10,100,7.5,7.5,0,0,10,0,0,1,1,0.07,-1,-1,0,0.55,0.55
102,Michail Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,0.51,3.42,1.53,44.8,3.41,1.53,0.13,0.3,0,0.05,0.05,0.59,0.55,0.16,-0.08,-0.09,0.14,0.73,0.69
103,Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,0,0.09,0,0,0.09,0,0,,0,0,0,0.01,0.01,0.06,-0.01,-0.01,0.14,0.15,0.15
104,Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,0,3.33,0,0,3.29,0,0,,0,0,0,0.22,0.22,0.06,-0.22,-0.22,0,0.21,0.21
105,Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
106,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,0.04,1.72,0.36,21.3,1.71,0.36,0.02,0.1,0.04,0,0,0.17,0.17,0.1,-0.13,-0.13,0.11,0.28,0.28
107,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,24,1995,2.1,0,0.48,0,0,0.48,0,0,,0,0,0,0,0,0.03,0,0,0,0.01,0.01
