Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1805,Arnaud Nordin,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,1998,10.1,40.6,0.69,5.15,21,18.8,2.87,39,2.57,3.47,74.3,2.77,0,34.1,305.4,182.5,41.7,294,69.8,2.48,2.77,Matches
1806,Håvard Nordtveit,no NOR,DF,Hoffenheim,de Bundesliga,29,1990,7.8,75.4,11.2,40.1,36.3,2.18,0.64,73.3,0.77,0.9,85.7,0.77,0,48.6,213.7,120,51.7,398,98.8,0.26,0.13,Matches
1807,Oliver Norwood,nir NIR,MF,Sheffield Utd,eng Premier League,28,1991,34.3,70.3,2.62,15.4,40.5,16.5,0.09,64,0.44,0.5,88.2,0.44,0,39.9,124.1,53.6,44.6,1479,96.7,0.29,0.41,Matches
1808,Alexander Nübel,de GER,GK,Schalke 04,de Bundesliga,22,1996,25.7,41.9,36,41.9,0.12,0,0,31.3,0,0,,0,0,22.7,101.7,47.7,21.5,552,99.8,0.04,0,Matches
1809,Kasim Nuhu,gh GHA,DF,Düsseldorf,de Bundesliga,24,1995,11.1,58.9,8.56,34.7,25.7,2.52,0.81,57.5,0.99,1.17,84.6,0.99,0,38.9,221.2,134.8,37.1,402,97.6,0.18,0.63,Matches
1810,Unai Núñez,es ESP,DF,Athletic Club,es La Liga,22,1997,17.5,49.9,7.26,27.9,23.7,1.49,0.69,48.9,0.34,0.4,85.7,0.4,0,29.1,163.1,86.7,30.6,526,98.1,0.34,0.23,Matches
1811,Bram Nuytinck,nl NED,DF,Udinese,it Serie A,29,1990,24.7,62.3,9.55,33.4,30.2,3.04,0.53,60.7,0.12,0.24,50,0.16,0,40.2,229,136.8,42,1018,98.2,0.08,0.04,Matches
1812,Gerzino Nyamsi,fr FRA,DF,Rennes,fr Ligue 1,22,1997,1.3,45.4,9.23,25.4,23.1,0.77,0.77,44.6,0.77,0.77,100,0.77,0,31.5,193.8,120.8,32.3,41,97.6,1.54,0.77,Matches
1813,Ørjan Nyland,no NOR,GK,Aston Villa,eng Premier League,28,1990,6,32.3,28,31.5,0.83,0,0,20.5,0,0,,0,0,14.2,102,60,12.5,74,98.7,0,0,Matches
1814,Allan Nyom,cm CMR,"DF,MF",Getafe,es La Liga,31,1988,26.9,43.5,1.82,11,20.8,13.7,1.08,34.8,0.52,1.08,48.3,0.63,0,20.7,131.1,62.1,23.8,546,85.2,0.67,0.89,Matches
1815,Steven Nzonzi,fr FRA,MF,Rennes,fr Ligue 1,30,1988,4.3,78.8,7.44,23,52.3,8.14,0.47,77.7,0.47,0.7,66.7,0.47,0,49.8,236.5,115.3,60.2,248,95.8,0,0.23,Matches
1816,Jack O'Connell,eng ENG,DF,Sheffield Utd,eng Premier League,25,1994,32.4,60.6,5.71,25.7,28.3,9.2,1.57,58,0.25,0.4,61.5,0.25,0,34.9,140,65.4,36.5,1121,94.8,0.4,0.34,Matches
1817,Michael Obafemi,ie IRL,FW,Southampton,eng Premier League,19,2000,7.4,32.2,0,1.89,15.4,16.6,5,31.9,2.43,4.19,58.1,2.7,0,25.4,143.1,71.8,44.5,182,55.3,3.92,2.43,Matches
1818,Pedro Obiang,gq EQG,MF,Sassuolo,it Serie A,27,1992,18.6,69.3,3.49,16.3,42.6,14.5,1.29,67.5,1.02,1.24,82.6,1.08,0,48.1,214.6,108.2,53.4,930,93.6,0.65,0.65,Matches
1819,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,26,1993,37.7,26.8,23.8,26.5,0.29,0.03,0,15.9,0.03,0.03,100,0.03,0,10.7,61.7,38.2,8.54,319,99.1,0.03,0,Matches
1820,Rafael Obrador,es ESP,DF,Mallorca,es La Liga,15,2004,0,4,0,1,1,2,0,4,0,0,,0,0,3,31,19,2,2,100,0,1,Matches
1821,Lucas Ocampos,ar ARG,FW,Sevilla,es La Liga,25,1994,30.5,50,0.95,6.07,20.7,27.2,6.59,49,2.72,5.51,49.4,3.18,6,38.7,302.1,195.9,48.5,1127,76.1,2.72,3.08,Matches
1822,Bastian Oczipka,de GER,DF,Schalke 04,de Bundesliga,30,1989,33.5,63,3.37,21.3,30.7,16.8,0.99,51.7,1.25,2.09,60,1.31,8,37.8,288.4,166.7,38.4,1190,92.4,0.66,0.48,Matches
