Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,0,1,0,2,1,0,0,1,2,0,0,0,18,5,3,62.5,Matches
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,5,0,0,22,12,0,29,31,20,0,0,0,319,56,28,66.7,Matches
118,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4,1,0,0,1,0,0,0,0,0,0,1,0,24,0,0,,Matches
119,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,,Matches
120,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12,1,0,0,8,16,1,24,24,17,0,0,0,104,21,20,51.2,Matches
121,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches
122,Stuart Armstrong,sco SCO,MF,Southampton,eng Premier League,27,1992,19.1,4,0,0,26,20,4,23,10,25,0,0,0,168,10,29,25.6,Matches
123,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,24,1995,8.8,2,0,0,11,17,5,7,6,3,0,0,0,46,8,25,24.2,Matches
124,José Arnaiz,es ESP,"MF,FW",Leganés,es La Liga,24,1995,3.7,2,0,0,9,6,1,12,2,3,0,0,0,33,1,5,16.7,Matches
125,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,8,0,0,52,69,0,166,29,35,0,0,0,350,23,20,53.5,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
126,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33,0,0,0,0,5,0,0,1,0,0,0,0,138,0,0,,Matches
127,Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,30,1988,7.1,1,0,0,6,6,2,18,10,5,0,0,0,67,3,4,42.9,Matches
128,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7,2,0,0,11,5,0,2,13,21,0,0,0,100,7,11,38.9,Matches
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34,2,0,0,2,5,0,0,0,0,0,1,0,137,0,0,,Matches
130,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,0,0,0,2,4,1,10,1,4,0,0,0,19,3,5,37.5,Matches
